"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Datetime
China,203334,2680,4776,51,169380,2982,29178,274,141,3,160000000,111163,1439323776,Asia,7079,301366,9,2.0,0.04,20.0,2022-04-25
USA,82747175,38858,1018718,186,80506860,41509,1221597,1415,247359,3045,1001729381,2994507,334522343,North America,4,328,0,116.0,0.6,3652.0,2022-04-25
India,43062097,2011,522223,0,42523311,1970,16563,698,30658,372,834717702,594272,1404606308,Asia,33,2690,2,1.0,0.0,12.0,2022-04-25
Brazil,30355919,6456,662777,76,29411813,27459,281329,8318,140994,3078,63776166,296221,215299307,South America,7,325,3,30.0,0.4,1307.0,2022-04-25
France,28317915,13984,145257,197,26083461,202981,2089197,1677,432101,2216,266484045,4066260,65535419,Europe,2,451,0,213.0,3.0,31879.0,2022-04-25
Germany,24227680,86980,134817,171,21425200,182200,2667663,1980,287502,1600,122332384,1451676,84269739,Europe,3,625,1,1032.0,2.0,31656.0,2022-04-25
UK,21978198,10582,173693,114,20955075,172725,849430,339,320697,2534,514985782,7514457,68532664,Europe,3,395,0,154.0,2.0,12395.0,2022-04-25
Russia,18144788,7651,375061,159,17483483,8855,286244,2300,124239,2568,273400000,1871988,146047929,Europe,8,389,1,52.0,1.0,1960.0,2022-04-25
S. Korea,16929564,34370,22243,110,0,0,0,668,329695,433,15804065,307776,51349193,Asia,3,2309,3,669.0,2.0,310381.0,2022-04-25
Italy,16161748,25287,162781,93,14755958,26738,1243009,416,268020,2699,211830644,3512910,60300620,Europe,4,370,0,419.0,2.0,20614.0,2022-04-25
Turkey,15021151,2604,98706,15,14888995,18573,33450,975,174696,1148,158372522,1841870,85984643,Asia,6,871,1,30.0,0.2,389.0,2022-04-25
Spain,11821601,11855,104148,80,11323230,24217,394223,339,252665,2226,471036328,10067543,46787616,Europe,4,449,0,253.0,2.0,8426.0,2022-04-25
Vietnam,10611772,7445,43021,8,9092760,6685,1475991,664,107269,435,85791014,867218,98926693,Asia,9,2299,1,75.0,0.08,14920.0,2022-04-25
Argentina,9072230,0,128542,0,8895999,0,47689,372,197446,2798,35716069,777318,45947798,South America,5,357,1,0.0,0.0,1038.0,2022-04-25
Netherlands,8040573,1356,22228,7,7706644,63124,311701,78,467377,1292,21107399,1226916,17203621,Europe,2,774,1,79.0,0.4,18118.0,2022-04-25
Japan,7660012,38450,29308,24,7178748,43345,451956,191,60903,233,46754605,371734,125774445,Asia,16,4291,3,306.0,0.2,3593.0,2022-04-25
Iran,7217117,1077,140996,21,6969470,2516,106651,1031,83976,1641,50862245,591819,85942224,Asia,12,610,2,13.0,0.2,1241.0,2022-04-25
Colombia,6091551,208,139780,2,5925040,295,26731,342,117447,2695,34388490,663022,51866293,South America,9,371,2,4.0,0.04,515.0,2022-04-25
Indonesia,6044467,317,156133,33,5875083,4664,13251,2771,21683,560,95024563,340873,278768157,Asia,46,1785,3,1.0,0.1,48.0,2022-04-25
Poland,5991464,267,115948,0,5334380,6,541136,1588,158624,3070,36032893,953972,37771451,Europe,6,326,1,7.0,0.0,14327.0,2022-04-25
Mexico,5733785,271,324129,12,5034427,535,375229,4798,43640,2467,15766174,119996,131389028,North America,23,405,8,2.0,0.09,2856.0,2022-04-25
Australia,5720127,30750,7002,13,5353033,39811,360092,132,219698,269,68886938,2645798,26036353,Australia/Oceania,5,3718,0,1181.0,0.5,13830.0,2022-04-25
Ukraine,4998517,224,108329,3,0,0,0,177,115553,2504,19521252,451281,43257407,Europe,9,399,2,5.0,0.07,19238.0,2022-04-25
Malaysia,4433551,2478,35507,8,4330037,9215,68007,98,133872,1072,58425629,1764171,33117890,Asia,7,933,1,75.0,0.2,2053.0,2022-04-25
Thailand,4180868,14994,27902,124,3978469,23524,174497,1496,59627,398,17270775,246312,70117577,Asia,17,2513,4,214.0,2.0,2489.0,2022-04-25
Austria,4108970,4111,18054,7,3998778,8918,92138,124,451556,1984,181910461,19991077,9099583,Europe,2,504,0,452.0,0.8,10126.0,2022-04-25
Israel,4062278,4506,10673,3,4022613,13461,28992,220,435586,1144,41373364,4436346,9326000,Asia,2,874,0,483.0,0.3,3109.0,2022-04-25
Belgium,4036113,2645,31382,15,3739914,13457,264817,156,345525,2687,33531891,2870614,11681086,Europe,3,372,0,226.0,1.0,22671.0,2022-04-25
Czechia,3896154,592,40100,5,3840761,2796,15293,42,362601,3732,55122500,5130057,10745007,Europe,3,268,0,55.0,0.5,1423.0,2022-04-25
Portugal,3791744,0,22162,0,0,0,0,61,373836,2185,41038444,4046066,10142802,Europe,3,458,0,0.0,0.0,88083.0,2022-04-25
South Africa,3764865,1954,100333,30,3634446,1149,30086,175,62060,1654,24332659,401102,60664519,Africa,16,605,2,32.0,0.5,496.0,2022-04-25
Canada,3706887,7204,38847,64,3431944,2670,236096,471,96679,1013,60625588,1581171,38342208,North America,10,987,1,188.0,2.0,6158.0,2022-04-25
Philippines,3684712,213,60194,12,3611879,1221,12639,289,32833,536,29446030,262383,112225532,Asia,30,1864,4,2.0,0.1,113.0,2022-04-25
Switzerland,3600181,1480,13835,4,3395378,16871,190968,90,410539,1578,20666182,2356627,8769392,Europe,2,634,0,169.0,0.5,21777.0,2022-04-25
Peru,3561677,801,212761,19,0,0,0,353,105361,6294,29673543,877796,33804616,South America,9,159,1,24.0,0.6,48167.0,2022-04-25
Chile,3547977,1484,57376,1,3385643,7448,104958,263,182756,2955,36787580,1894924,19413751,South America,5,338,1,76.0,0.05,5406.0,2022-04-25
Greece,3285970,8413,28933,66,3178081,26364,78956,279,318077,2801,79010158,7648059,10330747,Europe,3,357,0,814.0,6.0,7643.0,2022-04-25
Denmark,2960882,910,6105,21,2932403,1686,22374,15,507941,1047,127159230,21814223,5829189,Europe,2,955,0,156.0,4.0,3838.0,2022-04-25
Romania,2888639,321,65428,1,2606660,0,216551,221,151993,3443,22601950,1189262,19005028,Europe,7,290,1,17.0,0.05,11394.0,2022-04-25
Sweden,2498388,0,18656,0,2465572,1151,14160,19,244617,1827,18493218,1810672,10213458,Europe,4,547,1,0.0,0.0,1386.0,2022-04-25
